,date,cnt,number,bonus_number
186,(2006년 07월 01일 추첨),187,"
1
2
8
18
29
38
",42
187,(2006년 07월 08일 추첨),188,"
19
24
27
30
31
34
",36
188,(2006년 07월 15일 추첨),189,"
8
14
32
35
37
45
",28
189,(2006년 07월 22일 추첨),190,"
8
14
18
30
31
44
",15
190,(2006년 07월 29일 추첨),191,"
5
6
24
25
32
37
",8
191,(2006년 08월 05일 추첨),192,"
4
8
11
18
37
45
",33
192,(2006년 08월 12일 추첨),193,"
6
14
18
26
36
39
",13
193,(2006년 08월 19일 추첨),194,"
15
20
23
26
39
44
",28
194,(2006년 08월 26일 추첨),195,"
7
10
19
22
35
40
",31
195,(2006년 09월 02일 추첨),196,"
35
36
37
41
44
45
",30
196,(2006년 09월 09일 추첨),197,"
7
12
16
34
42
45
",4
197,(2006년 09월 16일 추첨),198,"
12
19
20
25
41
45
",2
198,(2006년 09월 23일 추첨),199,"
14
21
22
25
30
36
",43
199,(2006년 09월 30일 추첨),200,"
5
6
13
14
17
20
",7
200,(2006년 10월 07일 추첨),201,"
3
11
24
38
39
44
",26
201,(2006년 10월 14일 추첨),202,"
12
14
27
33
39
44
",17
202,(2006년 10월 21일 추첨),203,"
1
3
11
24
30
32
",7
203,(2006년 10월 28일 추첨),204,"
3
12
14
35
40
45
",5
204,(2006년 11월 04일 추첨),205,"
1
3
21
29
35
37
",30
205,(2006년 11월 11일 추첨),206,"
1
2
3
15
20
25
",43
206,(2006년 11월 18일 추첨),207,"
3
11
14
31
32
37
",38
207,(2006년 11월 25일 추첨),208,"
14
25
31
34
40
44
",24
208,(2006년 12월 02일 추첨),209,"
2
7
18
20
24
33
",37
209,(2006년 12월 09일 추첨),210,"
10
19
22
23
25
37
",39
210,(2006년 12월 16일 추첨),211,"
12
13
17
20
33
41
",8
211,(2006년 12월 23일 추첨),212,"
11
12
18
21
31
38
",8
212,(2006년 12월 30일 추첨),213,"
2
3
4
5
20
24
",42
213,(2007년 01월 06일 추첨),214,"
5
7
20
25
28
37
",32
214,(2007년 01월 13일 추첨),215,"
2
3
7
15
43
44
",4
215,(2007년 01월 20일 추첨),216,"
7
16
17
33
36
40
",1
216,(2007년 01월 27일 추첨),217,"
16
20
27
33
35
39
",38
217,(2007년 02월 03일 추첨),218,"
1
8
14
18
29
44
",20
218,(2007년 02월 10일 추첨),219,"
4
11
20
26
35
37
",16
219,(2007년 02월 17일 추첨),220,"
5
11
19
21
34
43
",31
220,(2007년 02월 24일 추첨),221,"
2
20
33
35
37
40
",10
221,(2007년 03월 03일 추첨),222,"
5
7
28
29
39
43
",44
222,(2007년 03월 10일 추첨),223,"
1
3
18
20
26
27
",38
223,(2007년 03월 17일 추첨),224,"
4
19
26
27
30
42
",7
224,(2007년 03월 24일 추첨),225,"
5
11
13
19
31
36
",7
225,(2007년 03월 31일 추첨),226,"
2
6
8
14
21
22
",34
226,(2007년 04월 07일 추첨),227,"
4
5
15
16
22
42
",2
227,(2007년 04월 14일 추첨),228,"
17
25
35
36
39
44
",23
228,(2007년 04월 21일 추첨),229,"
4
5
9
11
23
38
",35
229,(2007년 04월 28일 추첨),230,"
5
11
14
29
32
33
",12
230,(2007년 05월 05일 추첨),231,"
5
10
19
31
44
45
",27
231,(2007년 05월 12일 추첨),232,"
8
9
10
12
24
44
",35
232,(2007년 05월 19일 추첨),233,"
4
6
13
17
28
40
",39
233,(2007년 05월 26일 추첨),234,"
13
21
22
24
26
37
",4
234,(2007년 06월 02일 추첨),235,"
21
22
26
27
31
37
",8
235,(2007년 06월 09일 추첨),236,"
1
4
8
13
37
39
",7
236,(2007년 06월 16일 추첨),237,"
1
11
17
21
24
44
",33
237,(2007년 06월 23일 추첨),238,"
2
4
15
28
31
34
",35
238,(2007년 06월 30일 추첨),239,"
11
15
24
39
41
44
",7
239,(2007년 07월 07일 추첨),240,"
6
10
16
40
41
43
",21
240,(2007년 07월 14일 추첨),241,"
2
16
24
27
28
35
",21
241,(2007년 07월 21일 추첨),242,"
4
19
20
21
32
34
",43
242,(2007년 07월 28일 추첨),243,"
2
12
17
19
28
42
",34
243,(2007년 08월 04일 추첨),244,"
13
16
25
36
37
38
",19
244,(2007년 08월 11일 추첨),245,"
9
11
27
31
32
38
",22
245,(2007년 08월 18일 추첨),246,"
13
18
21
23
26
39
",15
246,(2007년 08월 25일 추첨),247,"
12
15
28
36
39
40
",13
247,(2007년 09월 01일 추첨),248,"
3
8
17
23
38
45
",13
248,(2007년 09월 08일 추첨),249,"
3
8
27
31
41
44
",11
249,(2007년 09월 15일 추첨),250,"
19
23
30
37
43
45
",38
250,(2007년 09월 22일 추첨),251,"
6
7
19
25
28
38
",45
251,(2007년 09월 29일 추첨),252,"
14
23
26
31
39
45
",28
252,(2007년 10월 06일 추첨),253,"
8
19
25
31
34
36
",33
253,(2007년 10월 13일 추첨),254,"
1
5
19
20
24
30
",27
254,(2007년 10월 20일 추첨),255,"
1
5
6
24
27
42
",32
255,(2007년 10월 27일 추첨),256,"
4
11
14
21
23
43
",32
256,(2007년 11월 03일 추첨),257,"
6
13
27
31
32
37
",4
257,(2007년 11월 10일 추첨),258,"
14
27
30
31
38
40
",17
258,(2007년 11월 17일 추첨),259,"
4
5
14
35
42
45
",34
259,(2007년 11월 24일 추첨),260,"
7
12
15
24
37
40
",43
260,(2007년 12월 01일 추첨),261,"
6
11
16
18
31
43
",2
261,(2007년 12월 08일 추첨),262,"
9
12
24
25
29
31
",36
262,(2007년 12월 15일 추첨),263,"
1
27
28
32
37
40
",18
263,(2007년 12월 22일 추첨),264,"
9
16
27
36
41
44
",5
264,(2007년 12월 29일 추첨),265,"
5
9
34
37
38
39
",12
265,(2008년 01월 05일 추첨),266,"
3
4
9
11
22
42
",37
266,(2008년 01월 12일 추첨),267,"
7
8
24
34
36
41
",1
267,(2008년 01월 19일 추첨),268,"
3
10
19
24
32
45
",12
268,(2008년 01월 26일 추첨),269,"
5
18
20
36
42
43
",32
269,(2008년 02월 02일 추첨),270,"
5
9
12
20
21
26
",27
270,(2008년 02월 09일 추첨),271,"
3
8
9
27
29
40
",36
271,(2008년 02월 16일 추첨),272,"
7
9
12
27
39
43
",28
272,(2008년 02월 23일 추첨),273,"
1
8
24
31
34
44
",6
273,(2008년 03월 01일 추첨),274,"
13
14
15
26
35
39
",25
274,(2008년 03월 08일 추첨),275,"
14
19
20
35
38
40
",26
275,(2008년 03월 15일 추첨),276,"
4
15
21
33
39
41
",25
276,(2008년 03월 22일 추첨),277,"
10
12
13
15
25
29
",20
277,(2008년 03월 29일 추첨),278,"
3
11
37
39
41
43
",13
278,(2008년 04월 05일 추첨),279,"
7
16
31
36
37
38
",11
279,(2008년 04월 12일 추첨),280,"
10
11
23
24
36
37
",35
280,(2008년 04월 19일 추첨),281,"
1
3
4
6
14
41
",12
281,(2008년 04월 26일 추첨),282,"
2
5
10
18
31
32
",30
282,(2008년 05월 03일 추첨),283,"
6
8
18
31
38
45
",42
283,(2008년 05월 10일 추첨),284,"
2
7
15
24
30
45
",28
284,(2008년 05월 17일 추첨),285,"
13
33
37
40
41
45
",2
285,(2008년 05월 24일 추첨),286,"
1
15
19
40
42
44
",17
286,(2008년 05월 31일 추첨),287,"
6
12
24
27
35
37
",41
287,(2008년 06월 07일 추첨),288,"
1
12
17
28
35
41
",10
288,(2008년 06월 14일 추첨),289,"
3
14
33
37
38
42
",10
289,(2008년 06월 21일 추첨),290,"
8
13
18
32
39
45
",7
290,(2008년 06월 28일 추첨),291,"
3
7
8
18
20
42
",45
291,(2008년 07월 05일 추첨),292,"
17
18
31
32
33
34
",10
292,(2008년 07월 12일 추첨),293,"
1
9
17
21
29
33
",24
293,(2008년 07월 19일 추첨),294,"
6
10
17
30
37
38
",40
294,(2008년 07월 26일 추첨),295,"
1
4
12
16
18
38
",8
295,(2008년 08월 02일 추첨),296,"
3
8
15
27
30
45
",44
296,(2008년 08월 09일 추첨),297,"
6
11
19
20
28
32
",34
297,(2008년 08월 16일 추첨),298,"
5
9
27
29
37
40
",19
298,(2008년 08월 23일 추첨),299,"
1
3
20
25
36
45
",24
299,(2008년 08월 30일 추첨),300,"
7
9
10
12
26
38
",39
300,(2008년 09월 06일 추첨),301,"
7
11
13
33
37
43
",26
301,(2008년 09월 13일 추첨),302,"
13
19
20
32
38
42
",4
302,(2008년 09월 20일 추첨),303,"
2
14
17
30
38
45
",43
303,(2008년 09월 27일 추첨),304,"
4
10
16
26
33
41
",38
304,(2008년 10월 04일 추첨),305,"
7
8
18
21
23
39
",9
305,(2008년 10월 11일 추첨),306,"
4
18
23
30
34
41
",19
306,(2008년 10월 18일 추첨),307,"
5
15
21
23
25
45
",12
307,(2008년 10월 25일 추첨),308,"
14
15
17
19
37
45
",40
308,(2008년 11월 01일 추첨),309,"
1
2
5
11
18
36
",22
309,(2008년 11월 08일 추첨),310,"
1
5
19
28
34
41
",16
310,(2008년 11월 15일 추첨),311,"
4
12
24
27
28
32
",10
311,(2008년 11월 22일 추첨),312,"
2
3
5
6
12
20
",25
312,(2008년 11월 29일 추첨),313,"
9
17
34
35
43
45
",2
313,(2008년 12월 06일 추첨),314,"
15
17
19
34
38
41
",2
314,(2008년 12월 13일 추첨),315,"
1
13
33
35
43
45
",23
315,(2008년 12월 20일 추첨),316,"
10
11
21
27
31
39
",43
316,(2008년 12월 27일 추첨),317,"
3
10
11
22
36
39
",8
317,(2009년 01월 03일 추첨),318,"
2
17
19
20
34
45
",21
318,(2009년 01월 10일 추첨),319,"
5
8
22
28
33
42
",37
319,(2009년 01월 17일 추첨),320,"
16
19
23
25
41
45
",3
320,(2009년 01월 24일 추첨),321,"
12
18
20
21
25
34
",42
321,(2009년 01월 31일 추첨),322,"
9
18
29
32
38
43
",20
322,(2009년 02월 07일 추첨),323,"
10
14
15
32
36
42
",3
323,(2009년 02월 14일 추첨),324,"
2
4
21
25
33
36
",17
324,(2009년 02월 21일 추첨),325,"
7
17
20
32
44
45
",33
325,(2009년 02월 28일 추첨),326,"
16
23
25
33
36
39
",40
326,(2009년 03월 07일 추첨),327,"
6
12
13
17
32
44
",24
327,(2009년 03월 14일 추첨),328,"
1
6
9
16
17
28
",24
328,(2009년 03월 21일 추첨),329,"
9
17
19
30
35
42
",4
329,(2009년 03월 28일 추첨),330,"
3
4
16
17
19
20
",23
330,(2009년 04월 04일 추첨),331,"
4
9
14
26
31
44
",39
331,(2009년 04월 11일 추첨),332,"
16
17
34
36
42
45
",3
332,(2009년 04월 18일 추첨),333,"
5
14
27
30
39
43
",35
333,(2009년 04월 25일 추첨),334,"
13
15
21
29
39
43
",33
334,(2009년 05월 02일 추첨),335,"
5
9
16
23
26
45
",21
335,(2009년 05월 09일 추첨),336,"
3
5
20
34
35
44
",16
336,(2009년 05월 16일 추첨),337,"
1
5
14
18
32
37
",4
337,(2009년 05월 23일 추첨),338,"
2
13
34
38
42
45
",16
338,(2009년 05월 30일 추첨),339,"
6
8
14
21
30
37
",45
339,(2009년 06월 06일 추첨),340,"
18
24
26
29
34
38
",32
340,(2009년 06월 13일 추첨),341,"
1
8
19
34
39
43
",41
341,(2009년 06월 20일 추첨),342,"
1
13
14
33
34
43
",25
342,(2009년 06월 27일 추첨),343,"
1
10
17
29
31
43
",15
343,(2009년 07월 04일 추첨),344,"
1
2
15
28
34
45
",38
344,(2009년 07월 11일 추첨),345,"
15
20
23
29
39
42
",2
345,(2009년 07월 18일 추첨),346,"
5
13
14
22
44
45
",33
346,(2009년 07월 25일 추첨),347,"
3
8
13
27
32
42
",10
347,(2009년 08월 01일 추첨),348,"
3
14
17
20
24
31
",34
348,(2009년 08월 08일 추첨),349,"
5
13
14
20
24
25
",36
349,(2009년 08월 15일 추첨),350,"
1
8
18
24
29
33
",35
350,(2009년 08월 22일 추첨),351,"
5
25
27
29
34
36
",33
351,(2009년 08월 29일 추첨),352,"
5
16
17
20
26
41
",24
352,(2009년 09월 05일 추첨),353,"
11
16
19
22
29
36
",26
353,(2009년 09월 12일 추첨),354,"
14
19
36
43
44
45
",1
354,(2009년 09월 19일 추첨),355,"
5
8
29
30
35
44
",38
355,(2009년 09월 26일 추첨),356,"
2
8
14
25
29
45
",24
356,(2009년 10월 03일 추첨),357,"
10
14
18
21
36
37
",5
357,(2009년 10월 10일 추첨),358,"
1
9
10
12
21
40
",37
358,(2009년 10월 17일 추첨),359,"
1
10
19
20
24
40
",23
359,(2009년 10월 24일 추첨),360,"
4
16
23
25
35
40
",27
